Variant SKU,Variant Price,Variant Cost,Variant Inventory Qty,Variant Command
3336503,1199,746.0,47,UPDATE
3336504,1159,725.0,47,UPDATE
3336505,1129,706.0,47,UPDATE
3336506,1269,790.0,47,UPDATE
3336509,1249,780.0,47,UPDATE
3336525,2089,1304.0,40,UPDATE
3336532,2289,1430.0,22,UPDATE
3336533,2299,1437.0,23,UPDATE
3336534,2299,1437.0,22,UPDATE
3336535,2219,1387.0,22,UPDATE
3336536,2369,1480.0,22,UPDATE
3336538,2399,1496.0,23,UPDATE
3336539,2359,1475.0,22,UPDATE
3336550,519,321.0,49,UPDATE
3336574,709,439.0,46,UPDATE
3336587,679,422.0,51,UPDATE
3336597,1009,627.0,48,UPDATE
3336600,999,620.0,79,UPDATE
3336609,1369,851.0,43,UPDATE
3336704,609,380.0,54,UPDATE
3336706,609,381.0,98,UPDATE
3336729,999,623.0,20,UPDATE
3336776,1889,1176.0,12,UPDATE
3336777,1749,1088.0,12,UPDATE
3336778,1779,1110.0,12,UPDATE
3336779,1739,1084.0,12,UPDATE
3336780,2119,1319.0,12,UPDATE
3336781,1789,1117.0,12,UPDATE
3336782,1919,1198.0,12,UPDATE
3336783,1789,1114.0,12,UPDATE
3336821,529,328.0,53,UPDATE
3336822,519,323.0,53,UPDATE
3336823,519,319.0,53,UPDATE
3336824,509,314.0,53,UPDATE
3336997,589,366.0,32,UPDATE
3337384,799,496.0,8,UPDATE
3337674,579,358.0,1,UPDATE
3337690,999,620.0,1,UPDATE
3337702,1149,715.0,0,UPDATE
3337751,649,403.0,6,UPDATE
3337775,1299,807.0,2,UPDATE
